                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                 1.0826,                 2.0025,                0.89707,                  1.009,                0.86468,                0.70532,                0.81534,                0.58905,                0.84586,                0.67198,                0.76854,                0.48397,                0.96079,                 1.8751,                0.70728,                0.95647,               0.007063,               0.007063,               0.007063
                     92,                 1.0861,                 2.0221,                   0.89,                 1.0118,                0.84679,                0.72605,                0.81476,                0.58792,                0.83794,                0.68125,                0.76896,                0.48434,                0.95308,                 1.8518,                0.71692,                0.96101,                0.00703,                0.00703,                0.00703
                     93,                 1.0845,                 2.0094,                0.89259,                 1.0123,                0.84093,                0.71914,                0.81462,                0.59153,                  0.814,                0.69258,                0.77387,                0.48974,                0.95268,                 1.8453,                0.69526,                0.95622,               0.006997,               0.006997,               0.006997
                     94,                 1.0835,                 2.0196,                0.89462,                 1.0088,                0.83786,                0.73611,                0.82115,                 0.5914,                0.83603,                0.67742,                0.77254,                0.48501,                0.94723,                 1.8212,                 0.6944,                0.95376,               0.006964,               0.006964,               0.006964
                     95,                  1.084,                 2.0135,                 0.8994,                 1.0091,                0.85027,                0.72328,                0.81614,                0.58857,                0.82173,                0.67895,                0.76644,                0.48447,                0.95494,                 1.8516,                0.73991,                0.95286,               0.006931,               0.006931,               0.006931
                     96,                 1.0743,                  1.995,                0.88021,                 1.0057,                0.83251,                0.73028,                0.81101,                0.58128,                0.80261,                0.69218,                0.76602,                0.48195,                0.97936,                 1.8726,                0.70219,                0.96311,               0.006898,               0.006898,               0.006898
                     97,                 1.0803,                 2.0057,                0.88712,                 1.0105,                0.84482,                0.72211,                0.81359,                0.58457,                 0.8211,                0.68318,                 0.7659,                0.47807,                0.95911,                 1.8798,                0.72936,                0.95712,               0.006865,               0.006865,               0.006865
                     98,                  1.079,                 1.9894,                0.88272,                 1.0099,                0.86537,                0.71084,                0.81277,                 0.5923,                0.83663,                0.68442,                0.77467,                0.49121,                0.94295,                 1.8516,                 0.7071,                0.95238,               0.006832,               0.006832,               0.006832
                     99,                 1.0745,                 1.9954,                0.87939,                 1.0064,                0.84591,                0.71686,                0.80666,                 0.5827,                0.83318,                0.67314,                0.76082,                0.47933,                0.95668,                 1.8495,                 0.7269,                0.95967,               0.006799,               0.006799,               0.006799
                    100,                 1.0761,                 2.0056,                0.88134,                 1.0088,                0.84817,                0.71649,                0.81903,                0.59323,                0.82686,                0.68286,                0.77331,                0.48838,                0.94992,                 1.8444,                0.69492,                0.95713,               0.006766,               0.006766,               0.006766
                    101,                 1.0771,                 2.0095,                0.88359,                 1.0064,                0.84159,                0.72475,                0.81545,                0.59634,                0.80504,                0.69327,                0.77305,                0.49621,                0.93792,                 1.8416,                0.68915,                0.95213,               0.006733,               0.006733,               0.006733
                    102,                 1.0739,                 1.9926,                0.88233,                 1.0078,                 0.8486,                0.72542,                0.81584,                 0.5898,                0.82226,                0.68364,                0.77104,                0.48873,                0.95104,                 1.8379,                0.69105,                0.95738,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.0762,                  1.991,                0.87544,                 1.0063,                0.85384,                0.71939,                0.81599,                0.58833,                0.81969,                0.67843,                0.76674,                0.48666,                 0.9525,                  1.848,                0.69793,                 0.9616,               0.006667,               0.006667,               0.006667
